time_s,step,agent,buffer_size,critic_loss,actor_loss,alpha,target_q_mean,q1_mean,q2_mean,log_prob_mean,action_abs_mean,obs_mean,obs_std,obs_norm_mean,obs_norm_var
5.5,595,0,590,0.0225968,-1.99729,0.121161,1.88847,1.85757,1.87078,-1.11629,0.60268,7.05542,3.49903,7.12299,7.97202
5.5,595,1,590,0.0182896,-1.72914,0.120271,1.52424,1.51732,1.57057,-1.10171,0.561915,6.27156,3.17669,6.05055,5.70955
5.5,595,2,590,0.0260028,-2.09002,0.120231,1.92814,1.89742,1.95518,-1.3215,0.589763,6.41573,2.97384,6.02205,5.89623
8,600,0,595,0.0771399,-2.05483,0.12098,1.95732,1.951,1.944,-1.24858,0.530686,6.94926,3.85611,7.12122,8.00155
8,600,1,595,0.0611946,-1.68893,0.120091,1.49042,1.47299,1.46369,-1.24976,0.496872,6.04052,3.48218,6.05489,5.73679
8,600,2,595,0.0914205,-2.00118,0.12005,1.85927,1.86592,1.81678,-1.28935,0.528042,5.99946,2.96763,6.036,5.91333
10.5,605,0,600,0.0353327,-2.04026,0.120798,1.96045,1.94165,1.93752,-1.24085,0.527199,7.20655,3.72781,7.11743,8.00726
10.5,605,1,600,0.0228666,-1.77455,0.119911,1.56398,1.59461,1.59414,-1.14926,0.551477,6.14991,3.1769,6.05564,5.75162
10.5,605,2,600,0.0281904,-2.06376,0.11987,1.88932,1.8592,1.89381,-1.13467,0.562497,6.10653,2.89493,6.05247,5.95048
13,610,0,605,0.0621103,-2.06209,0.120617,1.93099,1.94197,1.93835,-1.27944,0.520258,6.85166,3.73429,7.11062,8.04239
13,610,1,605,0.0378963,-1.74671,0.119731,1.55828,1.54189,1.55844,-1.44866,0.480305,6.19502,3.2492,6.06206,5.76663
13,610,2,605,0.0591186,-2.10318,0.11969,1.92602,1.96296,1.92044,-1.19317,0.574275,6.37776,3.3944,6.06332,6.02255
15.5,615,0,610,0.0185555,-2.07297,0.120436,2.00399,1.97957,1.98563,-1.16556,0.567386,7.23194,3.55939,7.11777,8.02976
15.5,615,1,610,0.0203756,-1.76101,0.119551,1.56936,1.57653,1.56913,-1.05229,0.570802,6.25554,3.32597,6.06846,5.78019
15.5,615,2,610,0.0274103,-2.1209,0.119511,1.90602,1.91784,1.92887,-1.33359,0.539956,6.26659,3.01927,6.07393,6.03621
18,620,0,615,0.0250051,-2.11677,0.120255,2.02298,2.02706,2.02036,-1.19833,0.535986,7.1064,3.57027,7.11429,8.03725
18,620,1,615,0.020081,-1.79052,0.119374,1.58596,1.58429,1.60346,-1.04252,0.567543,6.27219,3.3204,6.07113,5.80971
18,620,2,615,0.0239503,-2.15703,0.119332,1.97679,1.96103,1.96409,-1.19071,0.556223,6.44201,3.14492,6.08077,6.0516
20.5,625,0,620,0.111613,-2.00569,0.120075,1.99277,1.91517,1.91821,-1.03259,0.522291,6.97374,4.14921,7.10879,8.0644
20.5,625,1,620,0.0905126,-1.72565,0.119197,1.56208,1.52153,1.52734,-1.22914,0.504179,5.82989,3.40231,6.0737,5.8394
20.5,625,2,620,0.124526,-2.06944,0.119154,1.91513,1.90769,1.88779,-1.20388,0.537142,6.07597,3.23174,6.09402,6.06693
23,630,0,625,0.0528704,-2.09408,0.119896,1.97413,1.96289,1.94831,-1.2401,0.551336,6.56162,3.64531,7.09688,8.04555
23,630,1,625,0.045312,-1.83647,0.11902,1.65119,1.65366,1.64345,-1.26237,0.495232,5.99728,2.93373,6.07734,5.84654
23,630,2,625,0.0577648,-2.1579,0.118976,2.01196,1.97208,1.9691,-1.2012,0.544159,6.63413,3.40514,6.10847,6.08437
25.5,635,0,630,0.029412,-2.1003,0.119717,1.98032,2.00652,2.03699,-1.19036,0.537852,6.85501,3.25413,7.08745,8.01466
